Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.002,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.5
Label,IN,OUT
TIME,CH1,CH2
-1.00e+00,-0.1,2.728
-9.98e-01,-0.02,2.768
-9.96e-01,-0.1,2.848
-9.94e-01,0.06,2.868
-9.92e-01,-0.02,2.908
-9.90e-01,-0.1,2.928
-9.88e-01,-0.1,2.968
-9.86e-01,-0.1,3.028
-9.84e-01,-0.02,3.068
-9.82e-01,-0.02,3.128
-9.80e-01,-0.1,3.148
-9.78e-01,-0.02,3.208
-9.76e-01,-0.02,3.308
-9.74e-01,-0.1,3.288
-9.72e-01,-0.02,3.328
-9.70e-01,-0.18,3.388
-9.68e-01,0.06,3.448
-9.66e-01,-0.18,3.468
-9.64e-01,-0.02,3.488
-9.62e-01,-0.02,3.548
-9.60e-01,-0.02,3.588
-9.58e-01,-0.02,3.608
-9.56e-01,-0.02,3.628
-9.54e-01,-0.18,3.708
-9.52e-01,-0.02,3.748
-9.50e-01,-0.02,3.748
-9.48e-01,-0.1,3.768
-9.46e-01,-0.02,3.808
-9.44e-01,-0.02,3.828
-9.42e-01,-0.02,3.848
-9.40e-01,-0.02,3.868
-9.38e-01,-0.02,3.868
-9.36e-01,-0.02,3.888
-9.34e-01,-0.02,3.928
-9.32e-01,-0.02,3.948
-9.30e-01,-0.02,3.968
-9.28e-01,-0.02,3.968
-9.26e-01,-0.02,4.048
-9.24e-01,-0.02,4.028
-9.22e-01,-0.02,4.008
-9.20e-01,-0.02,4.048
-9.18e-01,-0.02,4.088
-9.16e-01,-0.02,4.068
-9.14e-01,-0.02,4.088
-9.12e-01,-0.02,4.088
-9.10e-01,-0.02,4.088
-9.08e-01,-0.02,4.108
-9.06e-01,-0.02,4.208
-9.04e-01,-0.02,4.128
-9.02e-01,-0.02,4.088
-9.00e-01,-0.02,4.068
