Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.1,
Sample Interval,0.001,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.5
Label,IN,OUT
TIME,CH1,CH2
-5.000e-01,-0.02,1.528
-4.990e-01,-0.02,1.568
-4.980e-01,-0.02,1.588
-4.970e-01,-0.02,1.608
-4.960e-01,-0.02,1.588
-4.950e-01,-0.1,1.648
-4.940e-01,-0.1,1.668
-4.930e-01,-0.02,1.668
-4.920e-01,-0.02,1.708
-4.910e-01,-0.1,1.728
-4.900e-01,0.06,1.748
-4.890e-01,-0.1,1.788
-4.880e-01,-0.1,1.808
-4.870e-01,-0.02,1.828
-4.860e-01,-0.02,1.868
-4.850e-01,0.06,1.848
-4.840e-01,-0.02,1.928
-4.830e-01,-0.1,1.908
-4.820e-01,-0.02,1.988
-4.810e-01,-0.02,1.968
-4.800e-01,-0.02,2.008
-4.790e-01,0.06,2.028
-4.780e-01,0.06,2.048
-4.770e-01,-0.1,2.088
-4.760e-01,-0.02,2.128
-4.750e-01,-0.1,2.128
-4.740e-01,-0.02,2.148
-4.730e-01,-0.1,2.168
-4.720e-01,-0.02,2.228
-4.710e-01,-0.02,2.268
-4.700e-01,-0.02,2.248
-4.690e-01,4.7,2.328
-4.680e-01,-0.02,2.328
-4.670e-01,4.78,2.328
-4.660e-01,4.62,2.368
-4.650e-01,4.78,2.388
-4.640e-01,4.62,2.388
-4.630e-01,4.7,2.468
-4.620e-01,4.62,2.428
-4.610e-01,4.7,2.488
-4.600e-01,4.86,2.468
-4.590e-01,4.62,2.528
-4.580e-01,4.7,2.548
-4.570e-01,4.78,2.588
-4.560e-01,4.62,2.628
-4.550e-01,4.62,2.628
-4.540e-01,4.86,2.608
-4.530e-01,4.7,2.688
-4.520e-01,4.62,2.688
-4.510e-01,4.54,2.748
-4.500e-01,4.54,2.808
-4.490e-01,4.7,2.808
-4.480e-01,4.54,2.788
-4.470e-01,4.78,2.848
-4.460e-01,4.7,2.888
-4.450e-01,4.94,2.888
-4.440e-01,4.62,2.948
-4.430e-01,-0.02,2.948
-4.420e-01,-0.02,2.988
-4.410e-01,0.06,2.988
-4.400e-01,-0.02,3.028
-4.390e-01,-0.02,3.008
-4.380e-01,-0.1,3.048
-4.370e-01,-0.02,3.128
-4.360e-01,-0.02,3.148
-4.350e-01,-0.02,3.208
-4.340e-01,0.06,3.168
-4.330e-01,-0.1,3.208
-4.320e-01,-0.1,3.188
-4.310e-01,0.06,3.248
-4.300e-01,-0.02,3.288
-4.290e-01,-0.02,3.288
-4.280e-01,-0.02,3.308
-4.270e-01,0.06,3.328
-4.260e-01,-0.02,3.448
-4.250e-01,-0.02,3.408
-4.240e-01,-0.02,3.408
-4.230e-01,-0.02,3.448
-4.220e-01,-0.02,3.508
-4.210e-01,-0.02,3.508
-4.200e-01,0.06,3.548
-4.190e-01,-0.02,3.528
-4.180e-01,-0.02,3.588
-4.170e-01,-0.02,3.628
-4.160e-01,-0.02,3.628
