Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.1,
Sample Interval,0.001,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.5
Label,IN,OUT
TIME,CH1,CH2
-5.000e-01,-0.02,2.628
-4.990e-01,-0.1,2.648
-4.980e-01,-0.1,2.628
-4.970e-01,-0.02,2.628
-4.960e-01,-0.02,2.648
-4.950e-01,-0.02,2.628
-4.940e-01,-0.02,2.628
-4.930e-01,-0.1,2.608
-4.920e-01,-0.1,2.628
-4.910e-01,-0.1,2.628
-4.900e-01,-0.02,2.608
-4.890e-01,-0.02,2.608
-4.880e-01,-0.02,2.588
-4.870e-01,-0.18,2.628
-4.860e-01,-0.02,2.588
-4.850e-01,-0.02,2.608
-4.840e-01,-0.02,2.508
-4.830e-01,0.06,2.588
-4.820e-01,-0.1,2.588
-4.810e-01,-0.18,2.588
-4.800e-01,-0.02,2.608
-4.790e-01,-0.02,2.568
-4.780e-01,-0.02,2.588
-4.770e-01,-0.02,2.608
-4.760e-01,-0.02,2.608
-4.750e-01,0.06,2.568
-4.740e-01,0.06,2.608
-4.730e-01,-0.02,2.588
-4.720e-01,-0.1,2.588
-4.710e-01,-0.02,2.568
-4.700e-01,-0.02,2.568
-4.690e-01,-0.1,2.568
-4.680e-01,-0.02,2.568
-4.670e-01,0.06,2.568
-4.660e-01,-0.02,2.548
-4.650e-01,-0.02,2.568
-4.640e-01,-0.18,2.548
-4.630e-01,-0.02,2.568
-4.620e-01,-0.18,2.548
-4.610e-01,-0.02,2.568
-4.600e-01,-0.02,2.588
-4.590e-01,-0.1,2.548
-4.580e-01,-0.02,2.548
-4.570e-01,-0.02,2.568
-4.560e-01,-0.1,2.548
-4.550e-01,-0.1,2.548
-4.540e-01,-0.02,2.528
-4.530e-01,-0.02,2.568
-4.520e-01,-0.02,2.548
-4.510e-01,-0.1,2.548
-4.500e-01,-0.02,2.548
-4.490e-01,0.06,2.528
-4.480e-01,-0.02,2.568
-4.470e-01,-0.02,2.548
-4.460e-01,-0.02,2.568
-4.450e-01,-0.1,2.548
-4.440e-01,-0.02,2.568
-4.430e-01,-0.1,2.508
-4.420e-01,-0.02,2.508
-4.410e-01,-0.02,2.528
-4.400e-01,-0.1,2.528
-4.390e-01,0.06,2.508
-4.380e-01,-0.02,2.528
-4.370e-01,-0.02,2.548
-4.360e-01,-0.02,2.548
-4.350e-01,4.7,2.508
-4.340e-01,4.62,2.548
-4.330e-01,4.7,2.508
-4.320e-01,4.7,2.508
-4.310e-01,4.78,2.508
-4.300e-01,4.7,2.548
-4.290e-01,4.7,2.548
-4.280e-01,4.7,2.568
-4.270e-01,4.62,2.548
-4.260e-01,4.62,2.548
-4.250e-01,4.62,2.508
-4.240e-01,4.7,2.548
-4.230e-01,4.62,2.528
-4.220e-01,-0.02,2.508
-4.210e-01,-0.02,2.528
-4.200e-01,-0.02,2.568
-4.190e-01,-0.02,2.548
-4.180e-01,-0.1,2.548
-4.170e-01,0.06,2.548
-4.160e-01,-0.02,2.548
