Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.5
Label,IN,OUT
TIME,CH1,CH2
-1.284e+00,-0.02,2.688
-1.280e+00,-0.02,2.608
-1.276e+00,-0.02,2.648
-1.272e+00,-0.02,2.668
-1.268e+00,-0.02,2.628
-1.264e+00,-0.1,2.688
-1.260e+00,-0.02,2.688
-1.256e+00,-0.18,2.688
-1.252e+00,-0.02,2.688
-1.248e+00,-0.02,2.708
-1.244e+00,-0.02,2.688
-1.240e+00,-0.02,2.708
-1.236e+00,-0.02,2.708
-1.232e+00,-0.02,2.708
-1.228e+00,-0.02,2.728
-1.224e+00,-0.02,2.728
-1.220e+00,-0.02,2.688
-1.216e+00,-0.02,2.708
-1.212e+00,-0.02,2.748
-1.208e+00,-0.02,2.708
-1.204e+00,-0.02,2.748
-1.200e+00,0.06,2.688
-1.196e+00,-0.02,2.688
-1.192e+00,-0.02,2.728
-1.188e+00,-0.02,2.748
-1.184e+00,-0.02,2.788
-1.180e+00,-0.02,2.728
-1.176e+00,-0.1,2.748
-1.172e+00,-0.02,2.768
-1.168e+00,-0.02,2.748
-1.164e+00,-0.02,2.728
-1.160e+00,-0.02,2.808
-1.156e+00,-0.02,2.768
-1.152e+00,-0.1,2.788
-1.148e+00,-0.02,2.788
-1.144e+00,-0.02,2.768
-1.140e+00,-0.1,2.768
-1.136e+00,-0.02,2.808
-1.132e+00,-0.02,2.808
-1.128e+00,-0.02,2.808
-1.124e+00,-0.1,2.808
-1.120e+00,-0.02,2.848
-1.116e+00,-0.1,2.848
-1.112e+00,0.06,2.788
-1.108e+00,-0.1,2.828
-1.104e+00,-0.02,2.788
-1.100e+00,-0.02,2.828
-1.096e+00,0.06,2.848
-1.092e+00,-0.1,2.868
-1.088e+00,-0.02,2.828
-1.084e+00,-0.02,2.828
-1.080e+00,-0.18,2.808
-1.076e+00,-0.02,2.888
-1.072e+00,-0.02,2.868
-1.068e+00,-0.02,2.868
-1.064e+00,-0.02,2.868
-1.060e+00,0.06,2.888
-1.056e+00,-0.02,2.868
-1.052e+00,-0.02,2.868
-1.048e+00,-0.1,2.868
-1.044e+00,-0.1,2.868
-1.040e+00,-0.02,2.888
-1.036e+00,-0.02,2.888
-1.032e+00,-0.02,2.908
-1.028e+00,-0.02,2.888
-1.024e+00,-0.02,2.868
-1.020e+00,-0.1,2.908
-1.016e+00,-0.02,2.908
-1.012e+00,-0.02,2.908
-1.008e+00,-0.02,2.888
-1.004e+00,-0.02,2.928
-1.000e-00,-0.02,2.908
-9.960e-01,-0.1,2.888
-9.920e-01,-0.02,2.888
-9.880e-01,-0.02,2.888
-9.840e-01,-0.1,2.928
-9.800e-01,-0.02,2.928
-9.760e-01,-0.1,2.908
-9.720e-01,-0.02,2.928
-9.680e-01,-0.02,2.948
-9.640e-01,-0.02,2.948
-9.600e-01,-0.02,2.908
-9.560e-01,-0.02,2.928
-9.520e-01,-0.1,2.908
-9.480e-01,-0.02,2.908
-9.440e-01,-0.02,2.928
-9.400e-01,0.06,2.968
-9.360e-01,-0.02,2.968
-9.320e-01,-0.02,2.988
-9.280e-01,-0.02,2.948
-9.240e-01,-0.18,2.968
-9.200e-01,-0.1,2.948
-9.160e-01,0.06,2.948
-9.120e-01,-0.18,2.968
-9.080e-01,-0.1,2.948
-9.040e-01,-0.02,2.948
-9.000e-01,4.78,2.968
-8.960e-01,4.7,2.928
-8.920e-01,4.7,2.908
-8.880e-01,4.7,2.948
-8.840e-01,4.7,2.948
-8.800e-01,4.62,2.928
-8.760e-01,4.78,2.968
-8.720e-01,4.62,2.948
-8.680e-01,4.7,2.968
-8.640e-01,4.62,2.948
-8.600e-01,4.7,2.928
-8.560e-01,4.78,2.968
-8.520e-01,4.78,2.968
-8.480e-01,4.62,2.928
-8.440e-01,4.62,2.948
-8.400e-01,4.7,2.968
-8.360e-01,4.7,2.968
-8.320e-01,4.7,2.968
-8.280e-01,4.62,2.948
-8.240e-01,4.62,2.988
-8.200e-01,4.62,2.988
-8.160e-01,4.62,2.968
-8.120e-01,4.62,2.948
-8.080e-01,4.62,2.948
-8.040e-01,4.54,2.988
-8.000e-01,4.62,2.928
-7.960e-01,4.7,2.908
-7.920e-01,4.62,2.928
-7.880e-01,4.62,2.968
-7.840e-01,4.78,2.988
-7.800e-01,4.62,2.948
-7.760e-01,4.86,2.968
-7.720e-01,4.54,2.968
-7.680e-01,4.54,2.948
-7.640e-01,-0.02,2.908
-7.600e-01,-0.02,2.968
-7.560e-01,0.14,2.928
-7.520e-01,-0.1,2.968
-7.480e-01,-0.02,2.908
-7.440e-01,-0.02,2.948
-7.400e-01,0.06,2.948
-7.360e-01,-0.02,2.968
-7.320e-01,-0.02,2.968
-7.280e-01,-0.02,2.908
-7.240e-01,-0.02,2.928
-7.200e-01,-0.02,2.928
-7.160e-01,-0.02,2.928
-7.120e-01,-0.02,2.888
-7.080e-01,-0.1,2.928
-7.040e-01,-0.02,2.928
-7.000e-01,-0.02,2.908
-6.960e-01,-0.02,2.908
-6.920e-01,-0.02,2.888
-6.880e-01,-0.1,2.888
-6.840e-01,-0.1,2.928
-6.800e-01,-0.1,2.888
-6.760e-01,-0.02,2.868
-6.720e-01,-0.02,2.908
-6.680e-01,0.14,2.868
-6.640e-01,-0.02,2.868
-6.600e-01,-0.02,2.908
-6.560e-01,-0.02,2.868
-6.520e-01,-0.02,2.888
-6.480e-01,-0.02,2.888
-6.440e-01,-0.02,2.888
-6.400e-01,-0.02,2.888
-6.360e-01,-0.02,2.868
-6.320e-01,0.06,2.868
-6.280e-01,0.06,2.868
-6.240e-01,-0.1,2.868
-6.200e-01,-0.02,2.888
-6.160e-01,-0.02,2.868
-6.120e-01,-0.02,2.828
-6.080e-01,-0.02,2.848
-6.040e-01,-0.02,2.808
-6.000e-01,-0.18,2.868
-5.960e-01,-0.02,2.828
-5.920e-01,-0.02,2.868
-5.880e-01,-0.02,2.808
-5.840e-01,-0.02,2.868
-5.800e-01,-0.02,2.868
-5.760e-01,0.06,2.828
-5.720e-01,-0.02,2.788
-5.680e-01,-0.02,2.788
-5.640e-01,-0.02,2.808
-5.600e-01,-0.02,2.808
-5.560e-01,0.06,2.788
-5.520e-01,-0.1,2.768
-5.480e-01,-0.02,2.828
