Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.1
Label,IN,OUT
TIME,CH1,CH2
-2.000e+00,4.7,2.408
-1.996e+00,-0.02,2.388
-1.992e+00,-0.02,2.416
-1.988e+00,-0.02,2.432
-1.984e+00,-0.1,2.46
-1.980e+00,-0.1,2.472
-1.976e+00,-0.02,2.472
-1.972e+00,-0.1,2.488
-1.968e+00,-0.1,2.528
-1.964e+00,0.06,2.536
-1.960e+00,-0.02,2.52
-1.956e+00,-0.02,2.572
-1.952e+00,-0.02,2.568
-1.948e+00,-0.02,2.572
-1.944e+00,-0.1,2.6
-1.940e+00,0.06,2.604
-1.936e+00,-0.02,2.648
-1.932e+00,-0.1,2.664
-1.928e+00,0.06,2.692
-1.924e+00,-0.02,2.676
-1.920e+00,-0.02,2.696
-1.916e+00,-0.02,2.732
-1.912e+00,-0.02,2.74
-1.908e+00,-0.02,2.716
-1.904e+00,-0.02,2.724
-1.900e+00,-0.02,2.764
-1.896e+00,-0.02,2.764
-1.892e+00,0.06,2.744
-1.888e+00,-0.02,2.736
-1.884e+00,0.06,2.748
-1.880e+00,-0.02,2.744
-1.876e+00,-0.02,2.748
-1.872e+00,-0.02,2.72
-1.868e+00,-0.02,2.716
-1.864e+00,-0.02,2.7
-1.860e+00,-0.02,2.704
-1.856e+00,-0.02,2.684
-1.852e+00,-0.02,2.66
-1.848e+00,-0.1,2.648
-1.844e+00,-0.02,2.636
-1.840e+00,-0.02,2.624
-1.836e+00,-0.02,2.6
-1.832e+00,-0.02,2.608
-1.828e+00,-0.02,2.56
-1.824e+00,-0.02,2.544
-1.820e+00,0.06,2.544
-1.816e+00,-0.02,2.508
-1.812e+00,-0.02,2.488
-1.808e+00,-0.02,2.48
-1.804e+00,-0.02,2.452
-1.800e+00,-0.02,2.468
-1.796e+00,0.06,2.436
-1.792e+00,-0.02,2.44
-1.788e+00,-0.02,2.436
-1.784e+00,-0.02,2.408
-1.780e+00,-0.02,2.408
-1.776e+00,-0.02,2.364
-1.772e+00,-0.02,2.388
-1.768e+00,-0.02,2.4
-1.764e+00,-0.02,2.392
-1.760e+00,4.54,2.384
-1.756e+00,4.7,2.396
-1.752e+00,4.7,2.364
-1.748e+00,4.7,2.392
-1.744e+00,4.78,2.396
-1.740e+00,-0.02,2.408
-1.736e+00,-0.02,2.436
-1.732e+00,-0.02,2.424
-1.728e+00,0.06,2.436
-1.724e+00,-0.1,2.468
-1.720e+00,-0.02,2.468
-1.716e+00,-0.02,2.508
-1.712e+00,-0.02,2.508
-1.708e+00,-0.02,2.532
-1.704e+00,-0.02,2.548
-1.700e+00,-0.02,2.564
-1.696e+00,-0.02,2.604
-1.692e+00,-0.02,2.6
-1.688e+00,-0.1,2.624
-1.684e+00,-0.02,2.616
-1.680e+00,0.06,2.636
-1.676e+00,0.06,2.64
-1.672e+00,-0.1,2.684
-1.668e+00,-0.02,2.692
-1.664e+00,-0.02,2.732
-1.660e+00,-0.1,2.688
-1.656e+00,-0.02,2.716
-1.652e+00,-0.02,2.752
-1.648e+00,-0.02,2.712
-1.644e+00,-0.02,2.748
-1.640e+00,-0.02,2.76
-1.636e+00,-0.1,2.752
-1.632e+00,-0.02,2.756
-1.628e+00,-0.02,2.744
-1.624e+00,-0.1,2.744
-1.620e+00,0.06,2.752
-1.616e+00,-0.02,2.716
-1.612e+00,-0.02,2.736
-1.608e+00,-0.1,2.696
-1.604e+00,-0.02,2.688
-1.600e+00,-0.02,2.672
-1.596e+00,-0.02,2.672
-1.592e+00,-0.02,2.66
-1.588e+00,-0.02,2.636
-1.584e+00,-0.1,2.632
-1.580e+00,-0.02,2.616
-1.576e+00,-0.26,2.592
-1.572e+00,0.14,2.572
-1.568e+00,-0.02,2.568
-1.564e+00,-0.02,2.516
-1.560e+00,-0.1,2.512
-1.556e+00,-0.1,2.488
-1.552e+00,-0.02,2.484
-1.548e+00,0.06,2.468
-1.544e+00,-0.1,2.46
-1.540e+00,0.06,2.436
-1.536e+00,0.06,2.42
-1.532e+00,-0.02,2.392
-1.528e+00,-0.1,2.4
-1.524e+00,-0.1,2.408
-1.520e+00,-0.1,2.368
-1.516e+00,-0.1,2.392
-1.512e+00,-0.1,2.392
-1.508e+00,-0.1,2.372
-1.504e+00,-0.02,2.392
-1.500e+00,4.62,2.368
-1.496e+00,4.7,2.4
-1.492e+00,4.62,2.392
-1.488e+00,0.06,2.412
-1.484e+00,-0.02,2.412
-1.480e+00,-0.02,2.428
-1.476e+00,-0.02,2.444
-1.472e+00,-0.02,2.436
-1.468e+00,-0.1,2.46
-1.464e+00,-0.02,2.48
-1.460e+00,-0.02,2.504
-1.456e+00,-0.02,2.5
-1.452e+00,-0.02,2.524
-1.448e+00,-0.02,2.564
-1.444e+00,-0.02,2.572
-1.440e+00,-0.02,2.6
-1.436e+00,-0.02,2.604
-1.432e+00,-0.18,2.632
-1.428e+00,-0.02,2.628
-1.424e+00,-0.02,2.652
-1.420e+00,0.06,2.668
-1.416e+00,0.06,2.68
-1.412e+00,-0.02,2.676
-1.408e+00,0.06,2.696
-1.404e+00,-0.02,2.696
-1.400e+00,0.06,2.748
-1.396e+00,-0.02,2.744
-1.392e+00,0.06,2.728
-1.388e+00,-0.02,2.748
-1.384e+00,-0.02,2.736
-1.380e+00,-0.02,2.732
-1.376e+00,-0.02,2.776
-1.372e+00,-0.1,2.764
-1.368e+00,-0.1,2.74
-1.364e+00,-0.02,2.724
-1.360e+00,-0.02,2.72
-1.356e+00,-0.02,2.72
-1.352e+00,0.06,2.74
-1.348e+00,-0.02,2.692
-1.344e+00,-0.18,2.668
-1.340e+00,0.06,2.692
-1.336e+00,-0.02,2.668
-1.332e+00,-0.02,2.648
-1.328e+00,-0.02,2.62
-1.324e+00,-0.02,2.608
-1.320e+00,-0.02,2.576
-1.316e+00,0.06,2.576
-1.312e+00,-0.1,2.544
-1.308e+00,-0.02,2.536
-1.304e+00,-0.02,2.524
-1.300e+00,-0.18,2.512
-1.296e+00,0.14,2.464
-1.292e+00,-0.02,2.508
-1.288e+00,-0.02,2.468
-1.284e+00,0.06,2.448
-1.280e+00,-0.02,2.424
-1.276e+00,-0.1,2.412
-1.272e+00,-0.02,2.4
-1.268e+00,-0.02,2.416
-1.264e+00,-0.02,2.4
