Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.2
Label,IN,OUT
TIME,CH1,CH2
-1.280e+00,-0.02,2.67
-1.276e+00,-0.02,2.67
-1.272e+00,-0.02,2.694
-1.268e+00,0.06,2.654
-1.264e+00,-0.02,2.646
-1.260e+00,-0.02,2.67
-1.256e+00,-0.02,2.646
-1.252e+00,-0.02,2.654
-1.248e+00,-0.02,2.63
-1.244e+00,-0.02,2.622
-1.240e+00,-0.18,2.614
-1.236e+00,-0.02,2.59
-1.232e+00,-0.1,2.598
-1.228e+00,-0.02,2.598
-1.224e+00,-0.02,2.606
-1.220e+00,0.06,2.582
-1.216e+00,-0.02,2.566
-1.212e+00,-0.02,2.566
-1.208e+00,-0.02,2.55
-1.204e+00,0.06,2.566
-1.200e+00,-0.1,2.542
-1.196e+00,-0.02,2.542
-1.192e+00,-0.1,2.55
-1.188e+00,-0.02,2.526
-1.184e+00,-0.02,2.526
-1.180e+00,0.06,2.51
-1.176e+00,-0.1,2.502
-1.172e+00,-0.02,2.51
-1.168e+00,-0.02,2.47
-1.164e+00,-0.02,2.47
-1.160e+00,-0.02,2.454
-1.156e+00,0.06,2.462
-1.152e+00,-0.02,2.47
-1.148e+00,-0.02,2.462
-1.144e+00,-0.18,2.446
-1.140e+00,-0.02,2.454
-1.136e+00,0.06,2.43
-1.132e+00,-0.02,2.414
-1.128e+00,-0.02,2.446
-1.124e+00,-0.02,2.422
-1.120e+00,-0.1,2.406
-1.116e+00,-0.02,2.406
-1.112e+00,-0.02,2.374
-1.108e+00,-0.1,2.406
-1.104e+00,-0.1,2.382
-1.100e+00,-0.1,2.398
-1.096e+00,0.06,2.366
-1.092e+00,-0.02,2.39
-1.088e+00,-0.18,2.342
-1.084e+00,0.06,2.366
-1.080e+00,0.06,2.366
-1.076e+00,-0.1,2.366
-1.072e+00,-0.02,2.342
-1.068e+00,-0.02,2.342
-1.064e+00,-0.02,2.334
-1.060e+00,-0.02,2.326
-1.056e+00,-0.1,2.326
-1.052e+00,-0.1,2.31
-1.048e+00,-0.02,2.334
-1.044e+00,0.06,2.326
-1.040e+00,-0.02,2.31
-1.036e+00,0.06,2.286
-1.032e+00,-0.18,2.31
-1.028e+00,0.06,2.302
-1.024e+00,-0.02,2.294
-1.020e+00,-0.02,2.302
-1.016e+00,-0.02,2.31
-1.012e+00,-0.02,2.294
-1.008e+00,-0.02,2.294
-1.004e+00,-0.02,2.302
-1.000e-00,-0.02,2.286
-9.960e-01,-0.02,2.278
-9.920e-01,-0.02,2.294
-9.880e-01,-0.1,2.302
-9.840e-01,-0.02,2.302
-9.800e-01,-0.02,2.294
-9.760e-01,-0.02,2.278
-9.720e-01,-0.02,2.262
-9.680e-01,-0.02,2.262
-9.640e-01,-0.02,2.254
-9.600e-01,-0.18,2.27
-9.560e-01,-0.02,2.254
-9.520e-01,-0.02,2.262
-9.480e-01,-0.02,2.262
-9.440e-01,-0.02,2.262
-9.400e-01,-0.02,2.286
-9.360e-01,-0.02,2.262
-9.320e-01,-0.1,2.262
-9.280e-01,-0.02,2.278
-9.240e-01,-0.02,2.214
-9.200e-01,-0.02,2.238
-9.160e-01,-0.1,2.246
-9.120e-01,-0.02,2.238
-9.080e-01,-0.02,2.262
-9.040e-01,-0.02,2.254
-9.000e-01,-0.1,2.238
-8.960e-01,-0.02,2.23
-8.920e-01,-0.02,2.262
-8.880e-01,-0.02,2.246
-8.840e-01,-0.02,2.238
-8.800e-01,-0.02,2.238
-8.760e-01,-0.02,2.254
-8.720e-01,-0.02,2.262
-8.680e-01,-0.02,2.27
-8.640e-01,0.14,2.27
-8.600e-01,-0.02,2.254
-8.560e-01,-0.02,2.254
-8.520e-01,-0.02,2.254
-8.480e-01,-0.02,2.246
-8.440e-01,0.06,2.262
-8.400e-01,0.14,2.262
-8.360e-01,0.06,2.246
-8.320e-01,-0.02,2.246
-8.280e-01,-0.1,2.27
-8.240e-01,-0.1,2.302
-8.200e-01,-0.02,2.278
-8.160e-01,-0.1,2.294
-8.120e-01,0.06,2.278
-8.080e-01,0.06,2.398
-8.040e-01,-0.1,2.27
-8.000e-01,-0.02,2.286
-7.960e-01,-0.02,2.302
-7.920e-01,-0.02,2.302
-7.880e-01,-0.02,2.294
-7.840e-01,-0.02,2.302
-7.800e-01,-0.1,2.334
-7.760e-01,0.06,2.31
-7.720e-01,-0.02,2.31
-7.680e-01,0.06,2.294
-7.640e-01,-0.02,2.318
-7.600e-01,-0.02,2.302
-7.560e-01,-0.02,2.318
-7.520e-01,-0.02,2.31
-7.480e-01,0.06,2.31
-7.440e-01,-0.1,2.31
-7.400e-01,-0.1,2.318
-7.360e-01,-0.02,2.342
-7.320e-01,-0.02,2.326
-7.280e-01,-0.02,2.342
-7.240e-01,-0.02,2.342
-7.200e-01,-0.02,2.334
-7.160e-01,-0.1,2.35
-7.120e-01,-0.02,2.366
-7.080e-01,0.06,2.358
-7.040e-01,-0.02,2.366
-7.000e-01,-0.02,2.382
-6.960e-01,-0.1,2.414
-6.920e-01,-0.1,2.406
-6.880e-01,-0.02,2.366
-6.840e-01,-0.02,2.398
-6.800e-01,-0.1,2.398
-6.760e-01,-0.02,2.43
-6.720e-01,-0.02,2.398
-6.680e-01,-0.02,2.43
-6.640e-01,-0.1,2.446
-6.600e-01,-0.02,2.438
-6.560e-01,-0.02,2.454
-6.520e-01,0.06,2.438
-6.480e-01,-0.1,2.478
-6.440e-01,-0.02,2.47
-6.400e-01,0.06,2.478
-6.360e-01,-0.02,2.478
-6.320e-01,-0.02,2.478
-6.280e-01,-0.02,2.462
-6.240e-01,-0.02,2.518
-6.200e-01,-0.02,2.502
-6.160e-01,0.06,2.518
-6.120e-01,-0.02,2.518
-6.080e-01,-0.1,2.55
-6.040e-01,-0.02,2.542
-6.000e-01,-0.02,2.534
-5.960e-01,-0.02,2.558
-5.920e-01,-0.1,2.55
-5.880e-01,-0.02,2.542
-5.840e-01,-0.1,2.558
-5.800e-01,0.06,2.558
-5.760e-01,0.06,2.566
-5.720e-01,-0.02,2.574
-5.680e-01,-0.02,2.574
-5.640e-01,-0.02,2.606
-5.600e-01,-0.02,2.598
-5.560e-01,-0.02,2.638
-5.520e-01,-0.02,2.606
-5.480e-01,0.06,2.622
-5.440e-01,-0.02,2.638
-5.400e-01,-0.1,2.646
-5.360e-01,0.14,2.63
-5.320e-01,-0.02,2.654
-5.280e-01,-0.02,2.646
-5.240e-01,-0.02,2.662
-5.200e-01,-0.1,2.662
-5.160e-01,-0.02,2.71
-5.120e-01,-0.02,2.686
-5.080e-01,-0.02,2.67
-5.040e-01,-0.02,2.702
-5.000e-01,-0.02,2.71
-4.960e-01,-0.02,2.718
-4.920e-01,-0.02,2.734
-4.880e-01,-0.02,2.734
-4.840e-01,0.06,2.702
-4.800e-01,-0.02,2.766
-4.760e-01,-0.02,2.734
-4.720e-01,-0.02,2.734
-4.680e-01,-0.02,2.782
-4.640e-01,-0.02,2.782
-4.600e-01,-0.02,2.782
-4.560e-01,0.06,2.79
-4.520e-01,-0.1,2.782
-4.480e-01,-0.02,2.79
-4.440e-01,0.06,2.798
-4.400e-01,-0.02,2.806
-4.360e-01,-0.1,2.798
-4.320e-01,-0.02,2.814
-4.280e-01,-0.02,2.838
-4.240e-01,-0.02,2.814
-4.200e-01,-0.02,2.846
-4.160e-01,-0.02,2.838
-4.120e-01,-0.02,2.862
-4.080e-01,0.06,2.838
-4.040e-01,-0.02,2.83
-4.000e-01,-0.02,2.87
-3.960e-01,-0.1,2.87
-3.920e-01,0.06,2.878
-3.880e-01,-0.02,2.854
