Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.1
Label,IN,OUT
TIME,CH1,CH2
-2.000e+00,0.06,2.3
-1.996e+00,0.06,2.308
-1.992e+00,0.14,2.292
-1.988e+00,-0.1,2.304
-1.984e+00,-0.1,2.308
-1.980e+00,-0.02,2.296
-1.976e+00,-0.02,2.324
-1.972e+00,-0.1,2.32
-1.968e+00,-0.1,2.292
-1.964e+00,-0.02,2.316
-1.960e+00,-0.02,2.308
-1.956e+00,-0.1,2.3
-1.952e+00,-0.02,2.3
-1.948e+00,-0.02,2.288
-1.944e+00,0.06,2.304
-1.940e+00,-0.1,2.336
-1.936e+00,-0.1,2.308
-1.932e+00,-0.02,2.308
-1.928e+00,-0.02,2.316
-1.924e+00,0.06,2.308
-1.920e+00,-0.1,2.32
-1.916e+00,-0.02,2.328
-1.912e+00,0.14,2.316
-1.908e+00,-0.02,2.328
-1.904e+00,-0.1,2.344
-1.900e+00,-0.02,2.324
-1.896e+00,0.06,2.324
-1.892e+00,-0.02,2.356
-1.888e+00,0.06,2.344
-1.884e+00,0.06,2.352
-1.880e+00,-0.02,2.356
-1.876e+00,-0.18,2.36
-1.872e+00,-0.18,2.34
-1.868e+00,-0.02,2.368
-1.864e+00,-0.1,2.364
-1.860e+00,-0.02,2.364
-1.856e+00,-0.02,2.384
-1.852e+00,-0.1,2.384
-1.848e+00,-0.02,2.376
-1.844e+00,-0.02,2.392
-1.840e+00,-0.02,2.38
-1.836e+00,-0.02,2.384
-1.832e+00,-0.1,2.368
-1.828e+00,-0.1,2.404
-1.824e+00,0.06,2.396
-1.820e+00,-0.02,2.404
-1.816e+00,-0.02,2.408
-1.812e+00,-0.1,2.404
-1.808e+00,-0.02,2.396
-1.804e+00,-0.02,2.396
-1.800e+00,-0.02,2.436
-1.796e+00,-0.02,2.4
-1.792e+00,-0.02,2.428
-1.788e+00,-0.1,2.436
-1.784e+00,-0.02,2.476
-1.780e+00,-0.1,2.448
-1.776e+00,-0.02,2.436
-1.772e+00,0.06,2.46
-1.768e+00,-0.02,2.448
-1.764e+00,-0.1,2.46
-1.760e+00,-0.1,2.48
-1.756e+00,-0.02,2.456
-1.752e+00,0.14,2.472
-1.748e+00,-0.02,2.488
-1.744e+00,-0.02,2.464
-1.740e+00,-0.1,2.492
-1.736e+00,-0.02,2.472
-1.732e+00,-0.02,2.508
-1.728e+00,-0.1,2.504
-1.724e+00,-0.1,2.5
-1.720e+00,-0.1,2.512
-1.716e+00,0.06,2.504
-1.712e+00,-0.1,2.528
-1.708e+00,-0.02,2.508
-1.704e+00,-0.1,2.512
-1.700e+00,-0.02,2.504
-1.696e+00,-0.02,2.524
-1.692e+00,-0.02,2.536
-1.688e+00,-0.02,2.528
-1.684e+00,-0.02,2.528
-1.680e+00,-0.02,2.544
-1.676e+00,-0.02,2.548
-1.672e+00,-0.1,2.572
-1.668e+00,-0.02,2.564
-1.664e+00,-0.02,2.552
-1.660e+00,0.06,2.576
-1.656e+00,0.06,2.556
-1.652e+00,-0.1,2.576
-1.648e+00,-0.02,2.596
-1.644e+00,-0.02,2.576
-1.640e+00,-0.02,2.576
-1.636e+00,-0.02,2.584
-1.632e+00,-0.02,2.6
-1.628e+00,-0.02,2.612
-1.624e+00,-0.02,2.612
-1.620e+00,-0.02,2.596
-1.616e+00,-0.02,2.612
-1.612e+00,-0.02,2.612
-1.608e+00,-0.02,2.62
-1.604e+00,-0.02,2.624
-1.600e+00,0.14,2.612
-1.596e+00,-0.02,2.648
-1.592e+00,-0.02,2.628
-1.588e+00,-0.02,2.656
-1.584e+00,-0.02,2.648
-1.580e+00,-0.02,2.652
-1.576e+00,-0.02,2.656
-1.572e+00,0.06,2.664
-1.568e+00,-0.02,2.684
-1.564e+00,-0.02,2.672
-1.560e+00,0.06,2.66
-1.556e+00,0.06,2.676
-1.552e+00,-0.02,2.672
-1.548e+00,-0.1,2.7
-1.544e+00,-0.1,2.68
-1.540e+00,-0.02,2.692
-1.536e+00,-0.1,2.684
-1.532e+00,-0.1,2.696
-1.528e+00,-0.02,2.724
-1.524e+00,-0.02,2.7
-1.520e+00,0.06,2.696
-1.516e+00,-0.02,2.716
-1.512e+00,-0.1,2.72
-1.508e+00,-0.02,2.72
-1.504e+00,-0.02,2.748
-1.500e+00,-0.02,2.744
-1.496e+00,-0.02,2.728
-1.492e+00,-0.02,2.764
-1.488e+00,-0.18,2.764
-1.484e+00,-0.02,2.748
-1.480e+00,-0.02,2.744
-1.476e+00,-0.1,2.78
-1.472e+00,-0.02,2.764
-1.468e+00,-0.02,2.748
-1.464e+00,-0.02,2.78
-1.460e+00,-0.1,2.752
-1.456e+00,-0.1,2.792
-1.452e+00,-0.02,2.804
-1.448e+00,-0.02,2.78
-1.444e+00,-0.02,2.78
-1.440e+00,-0.02,2.796
-1.436e+00,-0.02,2.768
-1.432e+00,-0.02,2.816
-1.428e+00,-0.02,2.784
-1.424e+00,-0.02,2.796
-1.420e+00,-0.02,2.812
-1.416e+00,-0.02,2.8
-1.412e+00,-0.02,2.812
-1.408e+00,-0.02,2.808
-1.404e+00,-0.02,2.836
-1.400e+00,-0.02,2.82
-1.396e+00,-0.02,2.812
-1.392e+00,-0.02,2.844
-1.388e+00,-0.02,2.832
-1.384e+00,-0.02,2.852
-1.380e+00,-0.1,2.848
-1.376e+00,-0.02,2.832
-1.372e+00,-0.02,2.832
-1.368e+00,-0.02,2.832
-1.364e+00,0.06,2.852
-1.360e+00,-0.02,2.868
-1.356e+00,-0.02,2.86
-1.352e+00,-0.02,2.848
-1.348e+00,-0.02,2.844
-1.344e+00,-0.18,2.872
-1.340e+00,-0.02,2.86
-1.336e+00,-0.1,2.872
-1.332e+00,-0.02,2.892
-1.328e+00,-0.02,2.888
-1.324e+00,-0.1,2.868
-1.320e+00,-0.02,2.86
-1.316e+00,-0.02,2.892
-1.312e+00,-0.02,2.88
-1.308e+00,-0.1,2.872
-1.304e+00,-0.02,2.88
-1.300e+00,-0.02,2.884
-1.296e+00,0.06,2.916
-1.292e+00,-0.02,2.884
-1.288e+00,0.14,2.892
-1.284e+00,-0.02,2.896
-1.280e+00,-0.02,2.892
-1.276e+00,-0.02,2.912
-1.272e+00,-0.02,2.88
-1.268e+00,-0.02,2.904
-1.264e+00,-0.02,2.896
