Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.004,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,1
Label,IN,OUT
TIME,CH1,CH2
-2.000e+00,0.06,0.798
-1.996e+00,-0.1,0.758
-1.992e+00,-0.1,0.718
-1.988e+00,-0.02,0.758
-1.984e+00,-0.02,0.838
-1.980e+00,-0.02,0.878
-1.976e+00,0.06,0.958
-1.972e+00,-0.02,1.078
-1.968e+00,-0.1,1.118
-1.964e+00,-0.02,1.158
-1.960e+00,-0.02,1.238
-1.956e+00,-0.02,1.318
-1.952e+00,-0.02,1.358
-1.948e+00,-0.02,1.558
-1.944e+00,-0.02,1.558
-1.940e+00,-0.02,1.678
-1.936e+00,-0.02,1.758
-1.932e+00,-0.02,1.878
-1.928e+00,-0.02,2.038
-1.924e+00,-0.02,1.998
-1.920e+00,-0.1,2.238
-1.916e+00,-0.02,2.318
-1.912e+00,0.06,2.358
-1.908e+00,4.78,2.518
-1.904e+00,4.54,2.558
-1.900e+00,4.62,2.718
-1.896e+00,4.54,2.798
-1.892e+00,4.7,2.958
-1.888e+00,4.7,2.998
-1.884e+00,4.54,3.078
-1.880e+00,-0.02,3.198
-1.876e+00,-0.02,3.318
-1.872e+00,-0.02,3.438
-1.868e+00,-0.1,3.518
-1.864e+00,-0.02,3.558
-1.860e+00,-0.02,3.718
-1.856e+00,-0.1,3.758
-1.852e+00,-0.02,3.798
-1.848e+00,-0.02,3.998
-1.844e+00,-0.02,3.958
-1.840e+00,-0.02,4.038
-1.836e+00,-0.02,4.118
-1.832e+00,-0.02,4.078
-1.828e+00,-0.02,4.158
-1.824e+00,-0.02,4.238
-1.820e+00,-0.02,4.358
-1.816e+00,-0.02,4.198
-1.812e+00,0.06,4.238
-1.808e+00,-0.02,4.358
-1.804e+00,-0.1,4.358
-1.800e+00,0.06,4.318
-1.796e+00,-0.1,4.318
-1.792e+00,-0.02,4.318
-1.788e+00,-0.02,4.278
-1.784e+00,-0.02,4.278
-1.780e+00,-0.02,4.198
-1.776e+00,-0.02,4.278
-1.772e+00,-0.02,4.078
-1.768e+00,0.06,4.038
-1.764e+00,-0.1,3.958
-1.760e+00,0.06,4.078
-1.756e+00,-0.1,3.998
-1.752e+00,-0.1,3.918
-1.748e+00,-0.02,3.758
-1.744e+00,0.06,3.678
-1.740e+00,0.06,3.518
-1.736e+00,-0.02,3.558
-1.732e+00,-0.1,3.398
-1.728e+00,0.06,3.318
-1.724e+00,-0.02,3.238
-1.720e+00,-0.02,3.118
-1.716e+00,-0.02,3.038
-1.712e+00,-0.26,2.958
-1.708e+00,-0.02,2.718
-1.704e+00,0.06,2.678
-1.700e+00,0.06,2.558
-1.696e+00,-0.02,2.558
-1.692e+00,-0.02,2.358
-1.688e+00,-0.1,2.318
-1.684e+00,-0.02,2.158
-1.680e+00,-0.02,2.118
-1.676e+00,0.14,1.998
-1.672e+00,-0.02,1.918
-1.668e+00,-0.1,1.798
-1.664e+00,-0.02,1.678
-1.660e+00,-0.02,1.638
-1.656e+00,0.06,1.478
-1.652e+00,-0.02,1.478
-1.648e+00,-0.02,1.278
-1.644e+00,-0.02,1.318
-1.640e+00,-0.02,1.158
-1.636e+00,-0.02,1.078
-1.632e+00,-0.1,1.078
-1.628e+00,-0.02,0.958
-1.624e+00,-0.02,0.838
-1.620e+00,-0.02,0.878
-1.616e+00,-0.02,0.878
-1.612e+00,-0.18,0.758
-1.608e+00,-0.02,0.798
-1.604e+00,-0.02,0.758
-1.600e+00,-0.1,0.758
-1.596e+00,0.06,0.718
-1.592e+00,-0.02,0.718
-1.588e+00,-0.02,0.758
-1.584e+00,0.06,0.678
-1.580e+00,-0.18,0.718
-1.576e+00,-0.02,0.758
-1.572e+00,-0.02,0.758
-1.568e+00,-0.1,0.758
-1.564e+00,-0.1,0.798
-1.560e+00,-0.02,0.878
-1.556e+00,-0.02,0.958
-1.552e+00,-0.18,0.998
-1.548e+00,-0.02,0.998
-1.544e+00,-0.18,1.078
-1.540e+00,-0.18,1.198
-1.536e+00,-0.02,1.198
-1.532e+00,-0.02,1.278
-1.528e+00,-0.1,1.438
-1.524e+00,-0.1,1.518
-1.520e+00,0.06,1.638
-1.516e+00,0.06,1.718
-1.512e+00,-0.02,1.838
-1.508e+00,-0.02,1.878
-1.504e+00,-0.1,1.918
-1.500e+00,0.06,2.118
-1.496e+00,-0.02,2.238
-1.492e+00,-0.1,2.358
-1.488e+00,-0.02,2.358
-1.484e+00,4.78,2.518
-1.480e+00,4.62,2.638
-1.476e+00,4.7,2.678
-1.472e+00,4.46,2.838
-1.468e+00,4.7,2.998
-1.464e+00,4.86,3.038
-1.460e+00,4.62,3.158
-1.456e+00,-0.02,3.198
-1.452e+00,-0.02,3.358
-1.448e+00,-0.02,3.398
-1.444e+00,-0.02,3.518
-1.440e+00,0.06,3.598
-1.436e+00,-0.02,3.678
-1.432e+00,-0.02,3.758
-1.428e+00,-0.02,3.798
-1.424e+00,-0.02,3.958
-1.420e+00,0.06,3.998
-1.416e+00,-0.02,3.958
-1.412e+00,-0.02,4.078
-1.408e+00,-0.02,4.238
-1.404e+00,-0.02,4.198
-1.400e+00,-0.02,4.278
-1.396e+00,-0.1,4.318
-1.392e+00,-0.02,4.318
-1.388e+00,-0.02,4.358
-1.384e+00,0.06,4.358
-1.380e+00,-0.1,4.278
-1.376e+00,0.06,4.278
-1.372e+00,-0.02,4.318
-1.368e+00,-0.02,4.238
-1.364e+00,-0.1,4.318
-1.360e+00,-0.18,4.278
-1.356e+00,-0.02,4.318
-1.352e+00,0.06,4.198
-1.348e+00,-0.02,4.198
-1.344e+00,-0.02,4.118
-1.340e+00,-0.02,4.038
-1.336e+00,-0.02,3.958
-1.332e+00,-0.18,3.918
-1.328e+00,-0.02,3.838
-1.324e+00,-0.18,3.758
-1.320e+00,-0.02,3.678
-1.316e+00,0.06,3.518
-1.312e+00,0.06,3.438
-1.308e+00,0.06,3.438
-1.304e+00,-0.02,3.278
-1.300e+00,-0.02,3.198
-1.296e+00,0.06,3.158
-1.292e+00,-0.1,2.998
-1.288e+00,0.14,2.838
-1.284e+00,-0.02,2.838
-1.280e+00,-0.1,2.678
-1.276e+00,-0.02,2.598
-1.272e+00,-0.1,2.518
-1.268e+00,-0.1,2.438
-1.264e+00,-0.02,2.278
-1.260e+00,-0.02,2.158
