Model,DPO3032
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.002,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,-0.02,2.578
Vertical Scale,2,0.1
Label,IN,OUT
TIME,CH1,CH2
-1.00e+00,4.78,2.464
-9.98e-01,4.54,2.476
-9.96e-01,4.62,2.492
-9.94e-01,-0.02,2.484
-9.92e-01,0.14,2.492
-9.90e-01,-0.02,2.468
-9.88e-01,-0.02,2.492
-9.86e-01,0.06,2.484
-9.84e-01,-0.02,2.488
-9.82e-01,0.06,2.508
-9.80e-01,-0.1,2.496
-9.78e-01,-0.02,2.516
-9.76e-01,-0.02,2.512
-9.74e-01,-0.02,2.52
-9.72e-01,-0.02,2.42
-9.70e-01,-0.02,2.548
-9.68e-01,-0.02,2.544
-9.66e-01,-0.02,2.52
-9.64e-01,0.22,2.54
-9.62e-01,-0.02,2.556
-9.60e-01,-0.02,2.564
-9.58e-01,0.06,2.564
-9.56e-01,-0.02,2.572
-9.54e-01,-0.02,2.576
-9.52e-01,-0.1,2.572
-9.50e-01,-0.02,2.576
-9.48e-01,-0.02,2.604
-9.46e-01,0.06,2.592
-9.44e-01,0.06,2.608
-9.42e-01,-0.02,2.588
-9.40e-01,-0.02,2.612
-9.38e-01,-0.02,2.636
-9.36e-01,-0.02,2.608
-9.34e-01,-0.1,2.628
-9.32e-01,-0.02,2.648
-9.30e-01,-0.02,2.628
-9.28e-01,-0.02,2.644
-9.26e-01,-0.02,2.632
-9.24e-01,-0.1,2.648
-9.22e-01,-0.02,2.676
-9.20e-01,0.06,2.588
-9.18e-01,-0.1,2.64
-9.16e-01,-0.02,2.656
-9.14e-01,-0.1,2.652
-9.12e-01,-0.1,2.664
-9.10e-01,-0.02,2.66
-9.08e-01,-0.02,2.644
-9.06e-01,-0.1,2.66
-9.04e-01,-0.02,2.652
-9.02e-01,-0.02,2.668
-9.00e-01,-0.1,2.648
